Int2_Name,C-Index,H-Index,BDE_kcalmol,Int1_Name,appearance_index,count,substructure,count_substructure,appearance_index_substructure,apperance_index_substructure
aa331_plan2_opt_C21_H26,20,25,119.26961336749144,aa331_plan2_opt,8,8,"{'first layer': ['C', 'C'], 'second layer': ['O']}",198,1,1
Benzoicacid_RH_Sub16_C8_H12,7,11,117.7137503350002,Benzoicacid_RH_Sub16,1,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa327_opt_C8_H13,7,12,117.56432125005377,aa327_opt,2,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa329_plan_opt_C9_H14,8,13,118.32163970499464,aa329_plan_opt,3,9,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
5Hexen1ol_RH_Sub17_C8_H9,7,8,119.42486941748754,5Hexen1ol_RH_Sub17,2,2,"{'first layer': ['C'], 'second layer': ['N']}",76,1,1
Styrene_RH_Sub24_C1_H16,0,15,118.62806929000128,Styrene_RH_Sub24,3,7,"{'first layer': ['C'], 'second layer': []}",656,1,1
5Hexen1thiol_RH_Sub18_C8_H19,7,18,120.8536743675441,5Hexen1thiol_RH_Sub18,1,2,"{'first layer': ['C'], 'second layer': ['N']}",76,1,1
aa81_opt_C5_H10,4,9,115.76504281002856,aa81_opt,6,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa197_plan_opt_C9_H23,8,22,117.8148725875272,aa197_plan_opt,2,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa92_plan_opt_C5_H10,4,9,117.52125027747894,aa92_plan_opt,2,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Styrene_RH_Sub27_C1_H16,0,15,118.6081718924757,Styrene_RH_Sub27,3,7,"{'first layer': ['C'], 'second layer': []}",656,1,1
aa310_plan_opt_C1_H25,0,24,118.43098785499107,aa310_plan_opt,5,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa70_opt_C12_H17,11,16,117.19447651503458,aa70_opt,5,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzamide_o_N_RH_Sub34_C10_H14,9,13,119.35769679751188,Benzamide_o_N_RH_Sub34,2,4,"{'first layer': ['C', 'C'], 'second layer': ['O']}",198,1,1
aa183_opt_C5_H15,4,14,117.78800617500906,aa183_opt,1,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa330_plan_opt_C8_H13,7,12,117.49791418000768,aa330_plan_opt,7,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Styrene_RH_Sub11_C10_H14,9,13,118.19588368498714,Styrene_RH_Sub11,6,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa81_opt_C15_H19,14,18,119.37456713501888,aa81_opt,5,7,"{'first layer': ['C', 'C'], 'second layer': ['N', 'N']}",21,1,1
Thiobenzoicacid_RH_Sub18_C6_H15,5,14,117.90568250496337,Thiobenzoicacid_RH_Sub18,4,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa149_opt_C10_H21,9,20,117.82139168506944,aa149_opt,5,5,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa144_plan_opt_C2_H19,1,18,109.89666657496656,aa144_plan_opt,4,5,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
aa87_opt_C3_H8,2,7,117.40370133003296,aa87_opt,1,5,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa309_plan_opt_C15_H33,14,32,117.48797395247664,aa309_plan_opt,3,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa280_plan_opt_C14_H29,13,28,119.39798857251505,aa280_plan_opt,2,9,"{'first layer': ['C', 'C'], 'second layer': ['O']}",198,1,1
aa103_plan_opt_C4_H9,3,8,117.46034826499825,aa103_plan_opt,4,8,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzeneethaneamine_o_RH_Sub21_C14_H18,13,17,119.00904273750272,Benzeneethaneamine_o_RH_Sub21,1,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Toluene_RH_Sub8_C6_H9,5,8,118.02474498248998,Toluene_RH_Sub8,3,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Ethene_RH_Sub1_C1_H6,0,5,114.77355641500957,Ethene_RH_Sub1,2,3,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
Azulene_RH_Sub7_C3_H17,2,16,114.37408803247152,Azulene_RH_Sub7,6,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa273_plan_opt_C10_H19,9,18,116.78910774995644,aa273_plan_opt,8,8,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa282_opt_C32_H2,31,1,118.03282467247186,aa282_opt,4,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzeneethanamine_o_RH_Sub18_C16_H19,15,18,120.19427101251864,Benzeneethanamine_o_RH_Sub18,3,4,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
aa7_plan_opt_C21_H26,20,25,116.36248618749022,aa7_plan_opt,1,9,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
aa213_plan_opt_C7_H23,6,22,118.06391165001372,aa213_plan_opt,5,5,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Styrene_RH_Sub3_C7_H11,6,10,117.83581037996498,Styrene_RH_Sub3,1,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
2Propen1amine_RH_Sub23_C9_H11,8,10,118.872085214998,2Propen1amine_RH_Sub23,3,3,"{'first layer': ['C'], 'second layer': []}",656,1,1
Benzeneethanamine_o_RH_Sub20_C14_H18,13,17,116.81117378751878,Benzeneethanamine_o_RH_Sub20,1,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzeneethanamine_o_RH_Sub16_C16_H19,15,18,117.32392662749774,Benzeneethanamine_o_RH_Sub16,2,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzamide_o_N_RH_Sub18_C12_H15,11,14,120.54279768998384,Benzamide_o_N_RH_Sub18,4,4,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
aa337_opt_C9_H14,8,13,118.60891485253715,aa337_opt,1,8,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
3Buten1ol_RH_Sub2_C8_H13,7,12,116.9025578674824,3Buten1ol_RH_Sub2,1,2,"{'first layer': ['F', 'C'], 'second layer': []}",15,1,1
Azulene_RH_Sub29_C3_H17,2,16,113.88552970998134,Azulene_RH_Sub29,5,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa327_plan2_opt_C7_H12,6,11,117.97747038746196,aa327_plan2_opt,3,9,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
Benzeneethanamine_o_RH_Sub26_C12_H15,11,14,116.8539623849766,Benzeneethanamine_o_RH_Sub26,4,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa158_plan_opt_C1_H15,0,14,118.47735257497504,aa158_plan_opt,5,8,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
aa193_plan_opt_C9_H43,8,42,117.55216030003736,aa193_plan_opt,14,14,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
2Propen1thiol_RH_Sub20_C8_H9,7,8,120.30589385000042,2Propen1thiol_RH_Sub20,2,2,"{'first layer': ['C'], 'second layer': ['N']}",76,1,1
Naphtalene_2_RH_Sub28_C14_H15,13,14,118.124696947516,Naphtalene_2_RH_Sub28,5,7,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa193_plan_opt_C8_H44,7,43,119.4013839749192,aa193_plan_opt,10,14,"{'first layer': ['C', 'C'], 'second layer': ['O']}",198,1,1
aa250_opt_C9_H23,8,22,117.84840869749304,aa250_opt,1,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
2Propen1amine_RH_Sub9_C7_H8,6,7,115.239337742519,2Propen1amine_RH_Sub9,1,2,"{'first layer': ['C', 'C'], 'second layer': ['N']}",667,1,1
2Ethen1ol_RH_Sub1_C5_H7,4,6,117.34125692249152,2Ethen1ol_RH_Sub1,2,2,"{'first layer': ['C', 'C'], 'second layer': ['N', 'O']}",9,1,1
aa63_opt_C7_H12,6,11,117.65099155000186,aa63_opt,2,5,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
aa94_opt_C4_H9,3,8,117.59300553003726,aa94_opt,2,4,"{'first layer': ['C', 'C'], 'second layer': []}",3450,1,1
